variables,D,hmin,hmax,tc,D0_0,D1_0,D0_1,D1_1,D0_2,D1_2,D0_3,D1_3,D0_4,D1_4,D0_5,D1_5,D0_6,D1_6,D0_7,D1_7,D0_8,D1_8,D0_9,D1_9,D0_10,D1_10,D0_11,D1_11,D0_12,D1_12,D0_13,D1_13,D0_14,D1_14,D0_15,D1_15,D0_16,D1_16,D0_17,D1_17,D0_18,D1_18,D0_19,D1_19,D0_20,D1_20,D0_21,D1_21,D0_22,D1_22,D0_23,D1_23,D0_24,D1_24,D0_25,D1_25,D0_26,D1_26,D0_27,D1_27,D0_28,D1_28,D0_29,D1_29,D0_30,D1_30,D0_31,D1_31,D0_32,D1_32,D0_33,D1_33,D0_34,D1_34,D0_35,D1_35,D0_36,D1_36,D0_37,D1_37,D0_38,D1_38,D0_39,D1_39,D0_40,D1_40,D0_41,D1_41,D0_42,D1_42,D0_43,D1_43,D0_44,D1_44,D0_45,D1_45,D0_46,D1_46,D0_47,D1_47,D0_48,D1_48,D0_49,D1_49,D0_50,D1_50,D0_51,D1_51,D0_52,D1_52,D0_53,D1_53,D0_54,D1_54,D0_55,D1_55,D0_56,D1_56,D0_57,D1_57,D0_58,D1_58,D0_59,D1_59,D0_60,D1_60,D0_61,D1_61,D0_62,D1_62,D0_63,D1_63,D0_64,D1_64,D0_65,D1_65,D0_66,D1_66,D0_67,D1_67,D0_68,D1_68,D0_69,D1_69,D0_70,D1_70,D0_71,D1_71,D0_72,D1_72,D0_73,D1_73,D0_74,D1_74,D0_75,D1_75,D0_76,D1_76,D0_77,D1_77,D0_78,D1_78,D0_79,D1_79,D0_80,D1_80,D0_81,D1_81,D0_82,D1_82,D0_83,D1_83,D0_84,D1_84,D0_85,D1_85,D0_86,D1_86,D0_87,D1_87,D0_88,D1_88,D0_89,D1_89,D0_90,D1_90,D0_91,D1_91,D0_92,D1_92,D0_93,D1_93,D0_94,D1_94,D0_95,D1_95,D0_96,D1_96,D0_97,D1_97,D0_98,D1_98,D0_99,D1_99
v,0.8619578266480326,0.8738503294229223,0.8627068397861751,0.00038325031000820337,0.7328436016876023,0.6235594847352993,0.6684196621962998,0.15941869585327523,0.5986854949310927,0.05916837564271571,0.5441128942566172,0.03822198497283293,0.49696069534415876,0.030639031372821732,0.45242157074819916,0.02636047864531922,0.41134030105691716,0.02374172759097233,0.3752687144291481,0.022373762134379475,0.34432300274685756,0.021734810556521333,0.31760361993168224,0.021323786666086947,0.2940868697707788,0.020864823002002934,0.2729306732008287,0.020244663389155163,0.25364104973740226,0.0194872888695529,0.236094033691912,0.018682886583152848,0.2201660802437231,0.01791865186617359,0.2057238642424302,0.0172603837468091,0.1927784659794983,0.01670362329085664,0.18123913896100946,0.016192955017346574,0.1708321329723995,0.015699200938817905,0.16132526172597536,0.015227408680787967,0.1525943655007699,0.014781088975654035,0.14456796200723598,0.014359170007488344,0.1372471132238656,0.01396749178385178,0.13066383060639997,0.013609220249617703,0.12479693206261788,0.013281226114766502,0.11955968123601908,0.012977494305803746,0.11483913032258401,0.012685924380542347,0.1105264127330377,0.012390362848020546,0.10652942427092345,0.012077859958516868,0.10277967104084172,0.011745012074637864,0.09921727223290595,0.011398101717746172,0.09578397348141605,0.011049127499930925,0.09244602584611818,0.010712019070635653,0.08920652709096871,0.01040072144438571,0.08610413551021756,0.010128638198560892,0.08319675314146645,0.009905259400787807,0.08051319360009003,0.009732080334130984,0.07803356017140715,0.009603938909737746,0.07571440631133458,0.009513902887754715,0.07351466856322993,0.009456006454962916,0.07141086713618364,0.009426982024407803,0.06940883348910938,0.009427572974311212,0.06754368595922451,0.009462575590798996,0.06586073253972143,0.009537157991857746,0.06438822970922772,0.009652191383802617,0.06311885024619229,0.009802165333239882,0.06200976766461741,0.009977717919495937,0.060998030956345865,0.010169800974608522,0.06001925227728992,0.010371760808509043,0.05902028367067238,0.010579003991921168,0.05796555947345478,0.010788363558894802,0.0568411858097501,0.010998055413650945,0.05565545455451519,0.011207818597797185,0.05443202846599961,0.011418478203880401,0.05319814528745379,0.011630996783522704,0.051976284474869724,0.011846176957080082,0.05078304572864923,0.012064778671260282,0.0496317261204815,0.012287240655577214,0.048532977732519855,0.012513219815963803,0.04749258645613224,0.01274055388142717,0.04650860063877123,0.012965040133371268,0.045570648446768974,0.013180786909832478,0.04466226908242037,0.013381355784605633,0.043764471577993805,0.01356116493874186,0.04285944618949721,0.01371659859240781,0.041932735161708645,0.013846543241972934,0.04097403414263009,0.013952241063773744,0.03997753645205602,0.014036858673247582,0.03894199997245774,0.014104619256366132,0.03787096106701655,0.014160308929144461,0.03677275285396649,0.01420888149393153,0.03565969412545615,0.01425507370179516,0.03454633667897552,0.014303209789848486,0.03344714099005343,0.014356349141223976,0.03237442846930033,0.014416205973490477,0.03133685632008947,0.014482963017496004,0.03033895479147827,0.014555665259828933,0.029381479644516834,0.014632617778521638,0.028462268268888032,0.014711980114642578,0.027577613173781733,0.014792018140337617,0.026723748728033694,0.014871489351494694,0.025898295085653864,0.014949518989656957,0.025101133672837547,0.015025608986602811,0.02433469839862563,0.01509931824106727,0.023603476521703796,0.015169938561953096,0.02291251192617462,0.015236465808737326,0.0222659705263623,0.015297562383551882,0.021665560736649686,0.015351921262913243,0.02110980788150708,0.015398344875072871,0.020594151721717795,0.01543589625432985,0.02011186551974216,0.015463867180317717,0.019655114759713533,0.015481614481822871,0.01921609865609093,0.01548879739623464,0.018787947802275325,0.015485177689394747,0.018365095867798588,0.015470802818794817,0.01794332990967179,0.015446062949485159,0.01751936330872987,0.015411593669754583,0.01709046068326862,0.015368361119038729,0.016654096400825064,0.015317426101726265,0.016207618397404335,0.01525990310776051
mu,0.0,0.0,0.0,0.6096487316247757,0.017516348848443043,0.2655582449353034,0.08417496607743723,0.7488223689986259,0.16458624241808895,0.8720920988316149,0.23014266468671735,0.8990575906446652,0.28760240994240666,0.9052678130856325,0.3420991131484586,0.9067939778673655,0.3925100798762061,0.9081216042213942,0.436644670355009,0.9087416519808722,0.4739365860467029,0.9072716892480369,0.5051173097474512,0.9023418094385608,0.5315254035187219,0.8937980589736755,0.5543788928621743,0.8832960828145475,0.5745729166289696,0.8731857535536985,0.5929476039090407,0.8643935011261271,0.6098510384820366,0.8563815161495193,0.625168602271708,0.8488440976825218,0.6390192129201453,0.8420806411410215,0.6516819339322628,0.8364013307065091,0.6631668720183617,0.8316392735241945,0.6733229120096901,0.8273716841292167,0.6821996814867872,0.8232885957375822,0.6900810577915846,0.8192845727887651,0.6973141975352445,0.8153657174321702,0.7042923092742386,0.8115407995395756,0.711304222090057,0.8077443583821448,0.7183450039967736,0.8038562158803829,0.7252222197830822,0.7997762087023852,0.7317245095136694,0.7954522683375407,0.7377343628991573,0.7908705216255698,0.7433000989445215,0.7860461531555494,0.748563362239907,0.7810072001687142,0.7536027591700476,0.775785380465982,0.7583849331832077,0.7704273475687146,0.7628117759087873,0.7649974236044573,0.7667865485580728,0.7595639140927365,0.7702872103846831,0.7541821370051803,0.7733575215509696,0.7488717974981045,0.7760422276942003,0.7436023874275675,0.7783619548405842,0.7382998113870606,0.7803232774923065,0.7328647187581914,0.7819291564566828,0.7271937449329506,0.7831860837649848,0.7212041256180484,0.7841042285357093,0.7148576377405846,0.7846926517985952,0.7081729876885579,0.7849572117749787,0.7012220444227169,0.7849001551723157,0.6941128468981114,0.7845165829485604,0.6869699074064018,0.7837933134127899,0.6799116018120338,0.7827129220298542,0.6730271290365315,0.7812645420844698,0.6663629162985885,0.7794598581856163,0.6599253975623618,0.7773463189506992,0.6536970568896493,0.7750045377867386,0.6476529620826786,0.7725256797372249,0.6417705065323365,0.7699832462805741,0.6360309082564645,0.7674190553270727,0.630418093630314,0.764847064922987,0.6249173033155914,0.7622653669010543,0.6195156558501174,0.7596675500705836,0.6142012749612044,0.7570500144061009,0.6089644552853417,0.7544140126135643,0.6037972213758732,0.7517644320209206,0.5986933381873539,0.7491068486835339,0.5936472961957253,0.7464456992048752,0.5886537215910215,0.743783456679868,0.5837069428762736,0.7411219326932134,0.5788009858608044,0.7384645362061394,0.5739299383276073,0.7358179072410127,0.5690881555496599,0.7331923758595326,0.5642719770495638,0.7305997922349978,0.5594798543470529,0.7280504202820103,0.5547129602362413,0.7255492668665207,0.5499739404523952,0.7230934090082758,0.5452657383037528,0.7206716261850895,0.5405901525955842,0.7182662047955578,0.5359483650348665,0.7158560592244059,0.5313422142986027,0.7134203565325686,0.526777127094402,0.7109415964321325,0.5222622942208822,0.708407427655557,0.5178094966434892,0.7058112115788525,0.5134294221569078,0.7031518976680409,0.5091291976305783,0.7004327944396295,0.5049105851985098,0.6976598789502195,0.5007720189100701,0.6948396992602957,0.49671089181129735,0.6919776042866953,0.49272668268769937,0.6890758324346538,0.48882269713700455,0.686132750580645,0.4850049504110691,0.6831422957984641,0.48127972436876654,0.6800949943620836,0.4776512927500583,0.6769792569213013,0.4741212499326096,0.6737834630316809,0.4706887960637287,0.6704982171117326,0.46735259454809325,0.6671177937706256,0.46411169416439774,0.6636414852618425,0.46096522965788833,0.6600741310763399,0.45791273337764965,0.6564253660880188,0.454953605255499,0.6527088896099855,0.4520869584625642,0.648940840264083,0.44931094236962676,0.645138449308636,0.44662355197914383,0.6413184775793538,0.4440218304082907
FvK,0.06853925945914369,0.002846709948376717,0.06444144080746315,0.01235489180454599,0.13046443539740887,0.006731102110967902,0.13956916652842175,0.02402367869866149,0.14195465323618434,0.02983100544571765,0.14068850468008146,0.02875784298368048,0.1372898780362783,0.025252104379971184,0.13256891060029788,0.021038777474091844,0.12720896245606905,0.01686834041121115,0.12173137823459489,0.01302097788035073,0.11646045351009979,0.009849870157919384,0.11152586620823512,0.007446174479521982,0.1069435824104541,0.00572929864303297,0.10266401853823814,0.004589105467697606,0.09866233644490582,0.0038586846644375872,0.09496789969557143,0.0033552473162991978,0.09154498901585187,0.002978432502097849,0.08830979110072201,0.002706309154813355,0.08523923049949607,0.0025164031156003257,0.08232034584952592,0.002369584174356568,0.07950802380082972,0.0022363390247407047,0.07680908511135176,0.002106039678882529,0.07428750778577664,0.0019831902522631064,0.07197060944236883,0.0018765151892816828,0.06983269753038454,0.0017874312112402051,0.06783676176351118,0.001709291372685758,0.065941558863561,0.0016372390673958773,0.06408822119756903,0.0015704015902060244,0.062235235422018864,0.001508933930858788,0.06036336635634517,0.0014532182201575268,0.058461794969642586,0.001403134124776609,0.056526824298192495,0.001356787514124376,0.054563118171551614,0.001310501517601628,0.05258767163981605,0.0012628647708787363,0.05062928577432777,0.0012170471419821526,0.04872067382702185,0.0011786888878790982,0.04689970744868885,0.0011536019937805413,0.045213001148525354,0.0011470192198454333,0.04369939123851895,0.0011605820304445673,0.04237469594595472,0.0011909822046148647,0.04122803599673425,0.0012321110340009652,0.04022229109005051,0.0012769986609602972,0.0393082158780519,0.001319487557377583,0.03845372325394914,0.0013560353680022652,0.03765985913806573,0.0013865251785346968,0.036944805814071675,0.001412508677122624,0.03631762884752206,0.0014349610229140203,0.03576859686222461,0.0014535696594630714,0.035275612872006215,0.0014675349309795506,0.03481482427814473,0.001476467736849531,0.034367466044408615,0.0014811974390704983,0.0339226020948524,0.0014832353746897706,0.033478034861908,0.0014842710207484588,0.03303957232500005,0.001485556928652609,0.03261687762431099,0.0014875225688318788,0.032214929576049545,0.0014896169008547318,0.031826869271276266,0.0014901771060673345,0.0314353138769024,0.001487409683649293,0.031021639376603006,0.0014803205577277822,0.030574990157606428,0.0014692950005234314,0.030094987795547153,0.0014557622828231037,0.029588609757368357,0.0014413160793671585,0.029064819816310216,0.0014272885185608252,0.02853057462886308,0.0014143073447743745,0.027989571262498215,0.0014023545268863082,0.02744316539272117,0.001391034599814582,0.026892018755478933,0.0013796748548491873,0.026337632190324152,0.0013676137820596978,0.02578300198602048,0.0013545271086812377,0.02523306875554023,0.0013405178838548847,0.02469459097488053,0.0013262077453381075,0.024176013910095134,0.0013127200213739055,0.023686668832258673,0.0013014713229276761,0.02323565308020437,0.0012936723213585538,0.022830017484840422,0.0012902942839845316,0.022473415357344345,0.0012914375969933893,0.02216536504953296,0.0012966312508645257,0.021901387856701815,0.0013046945301882543,0.021673778696153303,0.001314248964571449,0.021472777870537828,0.001323797338155175,0.021287862675999938,0.0013322229502411255,0.02110913919576478,0.0013390194159184038,0.02092846982831825,0.0013444557709245877,0.0207402237727832,0.0013495308675990105,0.020541323099623508,0.0013557175361091282,0.020330916801612774,0.0013644429671531367,0.020109665354861007,0.0013765589286102537,0.019878672817916023,0.0013920375403500445,0.019638958361362754,0.0014099679459397274,0.019390678594552478,0.0014290593700024491,0.019133337097215864,0.0014478456159584083,0.01886586743852647,0.0014650413001811927,0.018587173160424162,0.0014795010332442952,0.018296375726957644,0.001490209530731196,0.01799300876100523,0.0014964431303805719,0.017677196845719254,0.0014977817488602378,0.017349752845525087,0.0014942732902565791,0.01701184515808195,0.001486482901476818,0.01666487087943713,0.0014752524469913218,0.016310169786220057,0.0014615489566182451,0.015948810806137925,0.0014460455484918546,0.015581449208167146,0.0014289564794999694
b2,0.0,0.0,0.0,0.00552518159860236,0.00535483095786403,-0.0019352802226917242,0.003203519811430594,-0.0033181214048274275,0.002035451255960998,-0.0019513725683512442,0.0014750251614329205,-0.0005839030586140181,0.001176995442444883,0.0008435764327964936,0.0011772441778536292,0.00327353997624567,0.0014682628559309727,0.006482502659025416,0.0019393612273027536,0.009552140568317777,0.002594365691778999,0.012726939533554894,0.0035239499883564047,0.01642312062351768,0.004788375782827798,0.020789757542422786,0.006434179737998251,0.025629694634848564,0.008475946754019323,0.030266719317935013,0.010771467574034261,0.03430782335080624,0.013028107048030386,0.038081727569618584,0.015069344098547589,0.04197529235557491,0.016864448395054743,0.045977741674959736,0.018360630825242204,0.049887806799247585,0.019570842821567517,0.05364648583349807,0.02060214035238138,0.05735043616985815,0.021562059079533947,0.06111935843398715,0.02253752707417607,0.06502708025479849,0.023593441059804852,0.06909102480934926,0.02474158302894866,0.07328514429584422,0.026000102070074946,0.07756514611262434,0.027422681212331167,0.08187652406914449,0.029044019701789825,0.08615284188092273,0.030842203355666956,0.09033639226539975,0.03273029951646481,0.09439881476677853,0.03460899071679287,0.09834546783891425,0.03644936367916887,0.10221362858333652,0.038288747937263765,0.1060562393344264,0.04013901309605399,0.1099120137442276,0.04193203190227535,0.11379215082910427,0.043574495738034666,0.11769644650718762,0.045027604765557595,0.1216322861480502,0.04632171122883718,0.1256142165686736,0.047528071313593614,0.12965455269245596,0.048723792915169886,0.13375758033680382,0.049967244367061965,0.1379187595223475,0.051296793594310976,0.14212801270347825,0.052743802164858786,0.14637383583322183,0.05433446905031117,0.15064702640209954,0.05607528338879141,0.1549419118609193,0.057942233395926544,0.15925720555331344,0.059886664534719386,0.16359743665776133,0.06185054714458326,0.1679752502246562,0.06378027010582442,0.17241113252732257,0.06563580317357015,0.17692967194237902,0.06739557486556594,0.18155325050294044,0.06905871219902253,0.18629676054916344,0.07064454569732197,0.19116472774180102,0.07218652178130555,0.1961520698344039,0.07371747852439638,0.20124658694156242,0.07525429463382105,0.2064316331198514,0.07679400290574614,0.2116882043342461,0.07832438099805564,0.21699695232748883,0.07983778961685166,0.22233959872203057,0.08133719993400135,0.22769970617730326,0.08283314430180222,0.23306277247053225,0.08433720647296854,0.23841649468580245,0.0858572287064525,0.24375105734277283,0.08739613076872269,0.249059637592044,0.08895287616142998,0.25433836317059355,0.09052405667323106,0.2595858950709456,0.09210527956698326,0.26480248656609406,0.09369193137367147,0.269989053817252,0.09528015646757539,0.2751459289189086,0.09686780879141377,0.2802725534639241,0.09845506454290925,0.28536676603964023,0.10004455465300707,0.2904252515796932,0.10164050430097132,0.29544318729651714,0.10324670116355522,0.3004152177705216,0.10486443201826959,0.30533538422580037,0.10649071603777081,0.3101976357208788,0.1081172816821762,0.3149958089090846,0.10973098547195656,0.3197242397342364,0.11131515476548205,0.3243776413944319,0.11285151594324087,0.3289519589139263,0.11432213654254501,0.33344414754617113,0.1157110163484859,0.3378522246215157,0.11700518100371464,0.3421740197774097,0.11819509541379371,0.34640778412661727,0.1192750197315536,0.3505525455480788,0.12024276806942938,0.35460942852105226,0.12109904012857796,0.35858219795738167,0.12184647031100888,0.3624767376656899,0.12248843580973943,0.3662993017730577,0.12302817381908111,0.37005450222754116,0.12346796990402113,0.3737447096233534,0.12380889540229155,0.3773701279033026,0.12405082129588628,0.3809299411970825,0.12419271440193652,0.38442367920066534,0.12423325707345487,0.3878506677759011,0.12417170856440425,0.3912112640768894,0.12400846941897677,0.3945064651449495,0.12374558087546783,0.39773839582924914,0.12338667601877609,0.40090953960665077,0.1229364961137897,0.4040234498576769,0.12240012042811887,0.4070838682421393
etam,0.0,0.0,0.0,0.2425434627059186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
