v,FvK,sigma,log_likelihood
0.9592723889309744,189.64845593070513,0.26319092587816484,-6.47220827700082
0.904692338234459,148.65743750177757,0.22760120204243378,-7.4235596598468945
0.9026633840043038,181.07930089028173,0.2113426046053566,-7.460751678792009
0.9198633259550206,149.83086719904404,0.17026511344108367,-6.177587395490079
0.9092168947677755,187.52892772044697,0.19564161129860397,-7.077265818629357
0.9392833394595366,75.46651704571062,0.1106485979200144,-4.789264546660592
0.9336337478266892,74.82550955918498,0.08381947864677063,-5.090452029010822
0.926897728620091,127.69109188725878,0.08304363342957857,-4.5012807819159395
0.9281432945280764,114.23908663223224,0.10104419931816744,-4.764486958453915
0.9308082218317354,124.79330486909365,0.06890326745371231,-3.9694574147955874
0.9275474054438576,126.6777843182065,0.08751474912551649,-4.507300911107483
0.9341187306647534,129.9725019755836,0.07507580593314911,-3.631227611865655
0.9297413560000645,106.28640988978397,0.0641656631119757,-4.521313986492611
0.9203102859961658,120.49863963471896,0.13720962307243195,-5.703499036603866
0.9165687636447553,125.31067438801679,0.10698021018672144,-5.541313108901739
0.9308169001523041,164.058388373746,0.030711839606846432,-3.718474468754037
0.948798279459116,159.97961260677195,0.06635239884308125,-2.4939659004902186
0.9448525176894874,172.34525938199906,0.0689036710335346,-2.670940388362064
0.9455956899172638,134.66495798508987,0.0251402161261152,-0.11594586165763676
0.9455956899172638,134.66495798508987,0.0251402161261152,-0.11594586165763676
0.9455956899172638,134.66495798508987,0.0251402161261152,-0.11594586165763676
0.9382916615410166,118.6627491760299,0.0953686316106269,-3.8642998274131406
0.9350507861948286,106.53293561412258,0.11291687921417848,-4.5646693381618
0.9420083325158194,129.03632065316023,0.09300006416230408,-3.5159314675007742
0.9531990597839761,103.20795312612255,0.07951375630945426,-2.7028017599214578
0.9373644565147393,144.49566013734452,0.05200089513604544,-2.459735148482404
0.940265525142153,127.95999626954581,0.04066858478417143,-1.9291730050365956
0.9439498743263944,114.68219049609704,0.04579776914503762,-1.7876224930798728
0.9391240129635601,146.26426037547066,0.0628213853819528,-2.6455573035224926
0.9400543130337197,144.54332409839392,0.04042170733540174,-1.614824916287736
0.9471127961435581,129.396779124996,0.039681857954909715,-0.9878190150760795
0.9417136612609911,114.28095076627551,0.05197372527388197,-2.3420221607066374
0.9509658834166933,105.05465720179029,0.035874550826432906,-0.7580074928157678
0.9496591804574465,108.35797922689095,0.029608090018409056,-0.4339530851358564
0.9420411822550361,132.84027349706741,0.07506413440762844,-2.925427592046382
0.9415568581623356,137.25633198601932,0.06114631724698159,-2.4132948305064588
0.9385773497785299,107.77916138233378,0.09858402165595492,-4.012855023014263
0.9531097978696595,90.92379745466565,0.08792704383087947,-3.0239361328530565
0.9607430574974004,74.235652303481,0.08296887465386954,-2.7925322961792505
