t,L_W
0.0029795158286778367,1.941251354564488
0.01787709497206702,1.8465044345548085
0.03575418994413407,1.7337120853454535
0.05139664804469274,1.6570526780923522
0.06629422718808195,1.6075034981956673
0.08417132216014897,1.5579879851445044
0.10055865921787707,1.5242748477101289
0.11769087523277463,1.4996096750097316
0.13482309124767225,1.4410461972245896
0.14972067039106143,1.4140958873844016
0.166852886405959,1.3781312796557565
0.18547486033519547,1.3602626013950698
0.2003724394785847,1.3400919525718318
0.21675977653631281,1.3154183631600542
0.23463687150837984,1.322400025250134
0.24953445065176907,1.3135288114551447
0.26592178770949715,1.2775557870151188
0.2830540037243947,1.2777493713768693
0.30242085661080076,1.2531094488106134
0.31508379888268156,1.2351734368588834
0.3322160148975791,1.2195478121810854
0.3523277467411545,1.240114046439205
0.36499068901303533,1.231217582510074
0.3821229050279329,1.2246315058548745
0.40074487895716937,1.2158023756167875
