t,L_W
0.00188181126974718,2.1898454000168965
0.017789558165075436,1.9685562220157138
0.0336107121736926,1.839921432795472
0.04940440990115713,1.7406648644082119
0.0674157303370786,1.6685519979724595
0.08393807552589316,1.5896426459406947
0.10045197262819949,1.519772746472924
0.11844639689110403,1.4657387851651604
0.134159837796739,1.4523570161358457
0.15139393427388692,1.4118737855875647
0.16785503083551567,1.398500464644758
0.18357269578440483,1.3805989693334464
0.20079200811016296,1.3559347807721553
0.21577046548956647,1.3289853848103408
0.23446185688941446,1.3291965869730509
0.25094618568894134,1.2909647714792603
0.26740517022894306,1.2798513136774523
0.2861324659964518,1.241644842443187
0.30257666638506364,1.246350426628369
0.31751710737517946,1.2600785672045285
0.3347258595928021,1.2467136943482304
0.3496768606910534,1.249142519219397
0.3668877249303032,1.2335177832221005
0.3848420207822927,1.2224212215933092
0.4012946692574133,1.2180873532144971
