force,D1,D0
0.00000,1.000000,1.000000
16.50200,1.175098,0.860037
19.50100,1.240880,0.833622
31.02850,1.284734,0.781048
38.43200,1.398859,0.763480
47.61000,1.455793,0.697698
67.85800,1.582740,0.636404
88.19500,1.670449,0.610117
108.90700,1.749439,0.579342
130.47000,1.810989,0.575111
150.71400,1.872411,0.575111
172.65100,1.907546,0.579214
193.09100,1.960121,0.548439
