v,mu,FvK,b2,etam,Fext,eq_D,eq_hmin,eq_hmax,stretch_D0,stretch_D1,relax_tc
0.95,4.0,250.00000000000003,1.5,0.1,100.0,7.7493911450298745,0.7650865060538427,2.624793913830277,5.124121933390357,13.977840632343128,0.02791672993869778
0.95,4.0,250.00000000000003,1.5,0.16129032258064516,100.0,7.749384874301109,0.7650947556132514,2.624791762752419,5.124124111712411,13.977836159653961,0.03556332220941276
0.95,4.0,250.00000000000003,1.5,0.22258064516129034,100.0,7.749397604778963,0.7650989075120769,2.6247807848057834,5.124122171708444,13.977821640041086,0.04917555543753568
0.95,4.0,250.00000000000003,1.5,0.2838709677419355,100.0,7.74938928695151,0.7650943197832157,2.624788133182288,5.124125020945933,13.97783721460612,0.06427360824155846
0.95,4.0,250.00000000000003,1.5,0.34516129032258064,100.0,7.749389779604237,0.7651011003077869,2.6247935594746794,5.124120111842777,13.977832245655419,0.07965197975084894
0.95,4.0,250.00000000000003,1.5,0.467741935483871,100.0,7.749398164314538,0.7650958430544326,2.6247815856243677,5.124117395409458,13.977813990349574,0.11064255363466045
0.95,4.0,250.00000000000003,1.5,0.5290322580645161,100.0,7.749395031275298,0.7650956426834209,2.624772166451413,5.124119620498025,13.977819274166372,0.12660827249528234
0.95,4.0,250.00000000000003,1.5,0.6516129032258065,100.0,7.74940720225044,0.7651056769337932,2.624741254925397,5.124109315118881,13.977825673153081,0.15691216869758298
0.95,4.0,250.00000000000003,1.5,0.7129032258064517,100.0,7.749392414541974,0.7650869070563309,2.6247723365509184,5.124125374520767,13.977833280978851,0.1724069128926863
0.95,4.0,250.00000000000003,1.5,0.7741935483870968,100.0,7.749402507523803,0.765096768527278,2.6247580214081236,5.12411533915373,13.977829688603746,0.18777965755150178
0.95,4.0,250.00000000000003,1.5,0.8354838709677419,100.0,7.74940383693073,0.7650974684898412,2.624755728327906,5.1241210497428975,13.977835060728042,0.2026651029239032
0.95,4.0,250.00000000000003,1.5,0.896774193548387,100.0,7.749384338056206,0.765079568850559,2.624782596919697,5.124130065873598,13.977833543347371,0.21838123565851708
0.95,4.0,250.00000000000003,1.5,0.9580645161290321,100.0,7.74940192981411,0.7651006208508478,2.62474948184727,5.124113811563734,13.977816473468334,0.23358792242410265
0.95,4.0,250.00000000000003,1.5,1.0193548387096774,100.0,7.749392307209127,0.765100548881262,2.624777864667155,5.124109888327885,13.977837255357906,0.24944393901879697
0.95,4.0,250.00000000000003,1.5,1.0806451612903225,100.0,7.749397183677925,0.765103207809605,2.6247929712983975,5.124114157472699,13.977842890882329,0.2649438513889032
0.95,4.0,250.00000000000003,1.5,1.1419354838709679,100.0,7.749395915207399,0.7651045716284276,2.624775788774335,5.1241159965238,13.977823301947101,0.28102615368125505
0.95,4.0,250.00000000000003,1.5,1.203225806451613,100.0,7.7493877604383465,0.7650943426019402,2.6247783547760726,5.124120273049588,13.977817231837498,0.2971224035463374
0.95,4.0,250.00000000000003,1.5,1.3258064516129033,100.0,7.749393444964321,0.7650964874024158,2.6247575432034846,5.124121163498347,13.977828250271916,0.329416260053073
0.95,4.0,250.00000000000003,1.5,1.3870967741935485,100.0,7.749387371180831,0.7650842159586551,2.624779133058569,5.1241255004210755,13.97783563425073,0.3463973627850968
0.95,4.0,250.00000000000003,1.5,1.4483870967741936,100.0,7.749400968940812,0.7650997470735906,2.6247599293312476,5.124117325185258,13.97783704074835,0.36251565411320574
0.95,4.0,250.00000000000003,1.5,1.5096774193548388,100.0,7.749396898743603,0.7650888930758362,2.624773521178672,5.1241300409139185,13.977837723320256,0.3782203282582255
0.95,4.0,250.00000000000003,1.5,1.570967741935484,100.0,7.7493960633186765,0.765098068048447,2.6247821444214874,5.124123951388871,13.977843379795193,0.39304729194112137
0.95,4.0,250.00000000000003,1.5,1.632258064516129,100.0,7.749397119683558,0.7650958113645052,2.624782904276297,5.124122675719749,13.97782549776854,0.4087567506350992
0.95,4.0,250.00000000000003,1.5,1.6935483870967742,100.0,7.749397873137297,0.7650933985715482,2.6247576259711876,5.124114918760802,13.977830729735192,0.4243392948979236
0.95,4.0,250.00000000000003,1.5,1.7548387096774194,100.0,7.74939744610233,0.7651043225271785,2.6247624447121876,5.124109354030126,13.977820569976666,0.4406995110758544
0.95,4.0,250.00000000000003,1.5,1.8161290322580643,100.0,7.749407423950619,0.765113825349048,2.624763768098086,5.124104933226106,13.977832175395317,0.4559902694408727
0.95,4.0,250.00000000000003,1.5,1.87741935483871,100.0,7.749392670556636,0.7650970935995712,2.6247736559143755,5.12411626632066,13.977823288245927,0.4735007667399999
0.95,4.0,250.00000000000003,1.5,1.9387096774193548,100.0,7.749394336946372,0.7650916320262173,2.6247606894509703,5.124120149779901,13.977837003135592,0.49040107877888695
