v,mu,FvK,b2,etam,Fext,eq_D,eq_hmin,eq_hmax,stretch_D0,stretch_D1,relax_tc
0.95,4.0,250.00000000000003,0.0,0.7,100.0,7.750013712272956,0.7652170217953825,2.624286205374804,4.012907467724579,19.35714182586223,0.1883732027294202
0.95,4.0,250.00000000000003,0.12903225806451613,0.7,100.0,7.749970169666399,0.7652094734618528,2.6243065095097524,3.997981922163558,17.625552888003295,0.18549366921892915
0.95,4.0,250.00000000000003,0.25806451612903225,0.7,100.0,7.749906237441573,0.7651861064302562,2.624376933558019,4.3836613845391215,16.781868814231338,0.18303685529947422
0.95,4.0,250.00000000000003,0.3870967741935484,0.7,100.0,7.7498503368395335,0.7651810561682044,2.624413960369512,4.621467849507706,16.125806628271263,0.1808932163247235
0.95,4.0,250.00000000000003,0.5161290322580645,0.7,100.0,7.749804443861119,0.7651808925300423,2.6244368884006386,4.7681433203736905,15.649008585362782,0.17899670320541367
0.95,4.0,250.00000000000003,0.6451612903225806,0.7,100.0,7.749751740165782,0.7651667327984291,2.624481209527088,4.86170738469299,15.281978891846066,0.17730341718044274
0.95,4.0,250.00000000000003,0.7741935483870968,0.7,100.0,7.749700017032934,0.76514724145111,2.624552282589466,4.927020982656647,14.987058868587843,0.17577121839704313
0.95,4.0,250.00000000000003,0.9032258064516128,0.7,100.0,7.7496383852108695,0.7651421912883628,2.6245910597581266,4.981492824252853,14.742434273623063,0.17437234036506746
0.95,4.0,250.00000000000003,1.032258064516129,0.7,100.0,7.749590138320794,0.7651337674108668,2.624595884443033,5.02194744545019,14.534752133845602,0.17309001931486825
0.95,4.0,250.00000000000003,1.161290322580645,0.7,100.0,7.749525750899789,0.7651112575896608,2.624689258497411,5.057595432533889,14.355159632746659,0.17190623662193852
0.95,4.0,250.00000000000003,1.2903225806451613,0.7,100.0,7.749490444827911,0.7651186949954382,2.624690171900812,5.086150091543723,14.197575073473327,0.17080632591013933
0.95,4.0,250.00000000000003,1.4193548387096775,0.7,100.0,7.74942828585465,0.7651062438392124,2.624743417676785,5.110716769915922,14.057742762438554,0.1697801634698582
0.95,4.0,250.00000000000003,1.5483870967741935,0.7,100.0,7.749379745205208,0.7651044222814406,2.624768827906584,5.132727861823216,13.932282349023804,0.16882003122177117
0.95,4.0,250.00000000000003,1.6774193548387095,0.7,100.0,7.749324266787916,0.7650822153712072,2.6248336680115445,5.150458371821868,13.818933843495836,0.16791798133515548
0.95,4.0,250.00000000000003,1.8064516129032255,0.7,100.0,7.749251870281663,0.7650537053964438,2.624900875636557,5.163930036810972,13.715615035190938,0.16707114160120082
0.95,4.0,250.00000000000003,1.935483870967742,0.7,100.0,7.749226460239255,0.7650623620260983,2.624902144262258,5.175713698731932,13.620911981962669,0.16626928293700652
0.95,4.0,250.00000000000003,2.064516129032258,0.7,100.0,7.74916384757105,0.7650561888982095,2.624950145438109,5.187395001439885,13.533772184827994,0.16551118975825685
0.95,4.0,250.00000000000003,2.32258064516129,0.7,100.0,7.749043540999829,0.7650244704628646,2.625054304571873,5.206102368891796,13.378529665692207,0.16410706884065213
0.95,4.0,250.00000000000003,2.4516129032258065,0.7,100.0,7.749002107760941,0.7650133613450104,2.625120784332292,5.215108815428483,13.308699728882258,0.16345626274294323
0.95,4.0,250.00000000000003,2.5806451612903225,0.7,100.0,7.748952671733018,0.7650124017276859,2.6251176656704773,5.224785543969631,13.243346046851533,0.16283256784856362
0.95,4.0,250.00000000000003,2.7096774193548385,0.7,100.0,7.748895830605873,0.7649961271080328,2.625190388166207,5.232848634837339,13.181899761997341,0.16223861863846373
0.95,4.0,250.00000000000003,2.838709677419355,0.7,100.0,7.748849757467387,0.7649957031826248,2.6252005285204203,5.240539006101809,13.12412449486969,0.1616693297859745
0.95,4.0,250.00000000000003,2.967741935483871,0.7,100.0,7.748802202400879,0.7649819266875953,2.6252244092457757,5.246739701141609,13.069482141915328,0.16112296558835806
0.95,4.0,250.00000000000003,3.096774193548387,0.7,100.0,7.748748230736658,0.764974343463195,2.6252799500466275,5.252712608836101,13.017723667517155,0.1605973939949768
0.95,4.0,250.00000000000003,3.225806451612903,0.7,100.0,7.748696486179091,0.7649583164912036,2.6253381824960114,5.258544523067999,12.968643555529807,0.16009179471322788
0.95,4.0,250.00000000000003,3.354838709677419,0.7,100.0,7.748638523300733,0.7649433370203361,2.6253523889832517,5.264010316061647,12.922047659877238,0.15960404435615397
0.95,4.0,250.00000000000003,3.4838709677419355,0.7,100.0,7.748587082960333,0.7649455439359534,2.62539840542173,5.269543546081484,12.87763022732841,0.15913399898588146
0.95,4.0,250.00000000000003,3.612903225806451,0.7,100.0,7.748535242837053,0.7649336045993221,2.6254383271332755,5.273761334984735,12.83527192779084,0.15868052217149484
0.95,4.0,250.00000000000003,3.741935483870968,0.7,100.0,7.748503681094847,0.7649280266941266,2.6254431735658885,5.277640329592608,12.794818267999911,0.1582427989392256
0.95,4.0,250.00000000000003,3.870967741935484,0.7,100.0,7.748443604434256,0.7649234110604409,2.6255041712386364,5.282828242540797,12.75608036936933,0.15781904208669562
