Fext,D0,D1
00.00,7.784,7.784
16.40,6.728,9.208
19.60,6.475,9.644
30.78,6.108,9.989
38.61,5.970,10.88
47.56,5.465,11.39
67.69,4.960,12.31
87.98,4.776,13.07
108.9,4.524,13.64
130.3,4.455,14.10
150.8,4.455,14.54
172.8,4.524,14.83
193.1,4.271,15.29
